City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
499,Katsuura,JP,35.1333,140.3,48.22,84,75,9.8,broken clouds
500,Acapulco,MX,16.8634,-99.8901,82.22,69,0,11.5,clear sky
501,Olga,RU,43.7444,135.2892,28.54,72,100,10.76,overcast clouds
502,Sinazongwe,ZM,-17.2614,27.4618,78.62,75,96,5.64,overcast clouds
503,Rajaldesar,IN,28.0333,74.4667,84.47,16,52,5.08,broken clouds
504,Nelson Bay,AU,-32.7167,152.15,69.01,97,30,1.01,scattered clouds
505,Monrovia,LR,6.3005,-10.7969,80.33,80,10,10.29,clear sky
506,Pavullo Nel Frignano,IT,44.3315,10.835,50.34,84,100,1.34,overcast clouds
507,Awjilah,LY,29.1081,21.2869,58.32,32,0,9.51,clear sky
508,Tuymazy,RU,54.6067,53.7097,-3.08,100,45,2.73,scattered clouds
509,Emporia,US,38.4039,-96.1817,73.6,31,4,24.16,clear sky
510,Tanout,NE,14.9709,8.8879,77.45,10,4,11.54,clear sky
511,Maldonado,UY,-34.6667,-54.9167,85.39,26,0,9.46,clear sky
512,Talnakh,RU,69.4865,88.3972,-10.25,92,99,5.55,overcast clouds
513,Te Anau,NZ,-45.4167,167.7167,44.01,96,33,1.36,scattered clouds
514,Dhemaji,IN,27.4833,94.5833,71.47,34,98,3.49,overcast clouds
515,Alihe,CN,50.5667,123.7167,5.22,71,1,11.41,clear sky
516,Srandakan,ID,-7.9386,110.2506,75.88,90,100,3.51,light rain
517,Sarankhola,BD,22.3082,89.7897,73.47,76,97,4.12,overcast clouds
518,Arman,RU,59.7,150.1667,5.07,81,32,6.89,scattered clouds
519,Cacapava Do Sul,BR,-30.5122,-53.4914,81.28,48,92,8.5,overcast clouds
520,Warangal,IN,18.0,79.5833,83.71,18,100,2.91,overcast clouds
521,Manaure,CO,11.7751,-72.4445,89.62,47,5,17.69,clear sky
522,Dandong,CN,40.1292,124.3947,30.0,45,41,15.5,scattered clouds
523,Kilindoni,TZ,-7.9139,39.6668,82.02,75,11,14.41,few clouds
524,Kununurra,AU,-15.7667,128.7333,80.58,94,26,3.44,scattered clouds
525,Sobolevo,RU,54.4299,31.8996,15.49,94,86,4.14,overcast clouds
526,Miri,MY,4.4148,114.0089,79.34,84,100,0.78,overcast clouds
527,Toamasina,MG,-18.1667,49.3833,78.03,88,92,0.4,light rain
528,Kalnciems,LV,56.8011,23.6097,35.65,81,7,5.32,clear sky
529,Zaraza,VE,9.3503,-65.3245,87.73,47,100,7.9,overcast clouds
530,Svetlaya,RU,46.5389,138.3297,24.84,88,100,7.38,overcast clouds
531,Kieta,PG,-6.2167,155.6333,78.87,84,93,2.3,overcast clouds
532,Iracoubo,GF,5.4802,-53.2011,78.57,85,99,13.35,light rain
533,Madingou,CG,-4.1536,13.55,74.89,94,100,0.94,overcast clouds
534,Sorong,ID,-0.8833,131.25,79.25,85,14,7.83,few clouds
535,Leh,IN,34.1667,77.5833,16.0,59,1,3.42,clear sky
536,Luganville,VU,-15.5333,167.1667,78.39,83,97,2.89,overcast clouds
537,Port Hedland,AU,-20.3167,118.5667,84.25,79,55,4.61,broken clouds
538,Plainfield,US,40.6168,-74.4173,71.91,44,0,12.66,clear sky
539,Gulu,UG,2.7746,32.299,79.54,31,97,3.98,overcast clouds
540,Sarmanovo,RU,55.2553,52.5891,9.28,100,68,4.03,broken clouds
541,Pervomayskiy,RU,53.2485,40.2871,14.36,89,27,12.53,scattered clouds
542,Honiara,SB,-9.4333,159.95,76.55,84,100,2.68,overcast clouds
543,Pinega,RU,64.7001,43.3936,30.16,92,100,5.73,overcast clouds
544,Camopi,GF,3.1655,-52.3158,78.21,95,100,4.03,moderate rain
545,Bela Cruz,BR,-3.0506,-40.1678,79.95,85,100,5.64,light rain
546,Mitsamiouli,KM,-11.3847,43.2844,82.38,75,84,7.87,broken clouds
547,Porbandar,IN,21.6422,69.6093,77.77,67,5,9.6,clear sky
548,Gazanjyk,TM,39.2446,55.5154,44.11,87,100,3.96,overcast clouds
549,Awbari,LY,26.5921,12.7805,62.6,16,0,14.09,clear sky
550,Chinhoyi,ZW,-17.3667,30.2,66.58,95,100,4.27,moderate rain
551,Axim,GH,4.8699,-2.2405,80.22,83,45,7.25,scattered clouds
552,Koungheul,SN,13.9833,-14.8,92.08,11,8,7.45,clear sky
553,Kudahuvadhoo,MV,2.6708,72.8944,82.78,74,95,7.58,overcast clouds
554,Ust-Uda,RU,54.1742,103.0304,-8.19,100,100,2.39,overcast clouds
555,Cascais,PT,38.6979,-9.4215,58.51,72,75,32.01,broken clouds
556,Hailar,CN,49.2,119.7,-8.57,90,4,7.0,clear sky
557,Sabha,LY,27.0377,14.4283,59.32,21,0,13.06,clear sky
558,Slave Lake,CA,55.2834,-114.769,39.6,77,14,11.9,few clouds
559,Pandan,PH,14.0453,124.1694,78.51,89,74,6.15,light rain
560,Sanbu,CN,33.4594,119.1453,46.31,75,100,23.4,overcast clouds
561,Sunndalsora,NO,62.6754,8.5515,39.65,79,100,12.33,overcast clouds
562,West Wendover,US,40.7391,-114.0733,51.01,35,75,10.36,broken clouds
563,Kizema,RU,61.113,44.8302,17.53,95,100,3.94,overcast clouds
564,Margate,GB,51.3813,1.3862,52.88,85,100,5.01,overcast clouds
565,Nizhnyaya Poyma,RU,56.1622,97.1933,-1.39,99,100,2.75,overcast clouds
566,Westlock,CA,54.1502,-113.8688,34.88,90,10,11.25,clear sky
567,Niort,FR,46.3333,-0.3333,55.71,90,100,1.01,overcast clouds
568,Bayshore Gardens,US,27.4253,-82.5904,78.04,75,100,6.91,heavy intensity rain
569,Erdaojiang,CN,41.7764,126.0319,20.23,58,1,4.7,clear sky
570,Koslan,RU,63.4564,48.8989,21.85,94,100,7.16,overcast clouds
571,Riyadh,SA,24.6877,46.7219,55.54,33,100,20.45,overcast clouds
572,Villagomez,CO,5.2737,-74.1961,69.75,84,66,1.41,light rain
573,Formosa,AR,-26.1775,-58.1781,93.18,27,20,8.05,few clouds
574,The Valley,AI,18.217,-63.0578,84.06,65,40,16.11,scattered clouds
575,Bahia Blanca,AR,-38.7196,-62.2724,93.61,25,0,16.28,clear sky
576,Kingsville,US,27.5159,-97.8561,82.81,30,20,12.66,smoke
577,Gombong,ID,-7.6072,109.5142,75.81,94,100,2.64,overcast clouds
578,Palmer,US,42.1584,-72.3287,61.92,42,20,3.44,few clouds
579,Kirakira,SB,-10.4544,161.9205,79.83,82,100,2.15,overcast clouds
580,Nurota,UZ,40.5614,65.6886,49.19,97,100,3.58,overcast clouds
581,Nyurba,RU,63.2842,118.3319,-22.22,100,82,1.83,broken clouds
582,Barcelona,ES,41.3888,2.159,60.55,75,40,23.02,scattered clouds
583,Medvedka,RU,61.1629,46.387,16.14,94,100,4.09,overcast clouds
584,Kenora,CA,49.8167,-94.4337,35.58,100,100,5.37,overcast clouds
585,Eureka,US,40.8021,-124.1637,56.57,82,7,3.0,clear sky
586,Dourbali,TD,11.8091,15.8632,80.83,11,17,11.39,few clouds
587,Makakilo City,US,21.3469,-158.0858,80.92,66,100,3.44,overcast clouds
588,Ulagan,RU,50.6321,87.9563,3.96,99,100,1.07,overcast clouds
589,Santa Cruz De La Palma,ES,28.6835,-17.7642,66.34,63,40,19.57,scattered clouds
590,San Antonio,US,29.4241,-98.4936,83.07,25,0,12.66,clear sky
591,Verkhoyansk,RU,67.5447,133.385,-32.31,100,36,2.98,scattered clouds
592,Quatre Cocos,MU,-20.2078,57.7625,80.71,88,48,5.5,scattered clouds
593,Tabou,CI,4.423,-7.3528,80.31,83,53,5.41,broken clouds
594,Zhangye,CN,38.9342,100.4517,39.69,64,78,4.18,broken clouds
595,Corn Island,NI,12.1694,-83.0418,80.58,75,8,17.31,light rain
596,Niksar,TR,40.5917,36.9517,28.89,87,74,5.37,broken clouds
597,Aiken,US,33.5835,-81.5998,68.11,96,100,5.75,light rain
598,Gat,IL,31.61,34.7642,50.68,100,18,3.29,few clouds
599,Tautira,PF,-17.7333,-149.15,80.8,67,92,2.28,overcast clouds
600,Altay,CN,47.8667,88.1167,20.08,73,97,6.38,overcast clouds
601,Inhambane,MZ,-23.865,35.3833,76.98,94,40,9.22,moderate rain
602,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,81.97,72,82,3.65,light rain
603,Greytown,ZA,-29.0642,30.5928,57.88,99,100,2.64,light rain
604,Nukus,UZ,42.4531,59.6103,33.78,93,100,6.91,overcast clouds
605,Barabai,ID,-2.5833,115.3833,72.93,96,31,1.05,scattered clouds
606,Kawalu,ID,-7.3817,108.2082,73.42,94,100,1.1,overcast clouds
607,Kasane,BW,-17.8167,25.15,67.86,93,84,2.08,broken clouds
608,Caborca,MX,30.5838,-111.101,81.55,8,0,11.01,clear sky
609,Ilheus,BR,-14.7889,-39.0494,83.71,65,77,6.78,broken clouds
610,Guerande,FR,47.3291,-2.4283,51.22,83,100,14.63,overcast clouds
611,Alyangula,AU,-13.8483,136.4192,81.93,78,27,7.45,scattered clouds
612,Astorga,BR,-23.2325,-51.6656,77.92,77,87,3.91,light rain
613,Shaoxing,CN,30.011,120.5715,71.55,81,100,6.62,overcast clouds
614,Grindavik,IS,63.8424,-22.4338,28.87,80,75,13.8,light snow
615,Fairlie,GB,55.756,-4.8556,44.4,80,3,5.5,clear sky
616,Montbrison,FR,45.6667,4.0833,55.74,73,100,2.3,overcast clouds
617,La Orilla,MX,17.9833,-102.2333,84.43,48,0,11.36,clear sky
618,Gossas,SN,14.4912,-16.0642,89.35,11,6,8.77,clear sky
619,Port Hardy,CA,50.6996,-127.4199,45.43,79,100,14.07,overcast clouds
620,Villa Carlos Paz,AR,-31.4241,-64.4978,90.05,43,100,4.0,overcast clouds
621,Siguiri,GN,11.6667,-9.5,93.92,22,100,2.53,overcast clouds
622,Cedar City,US,37.6775,-113.0619,43.77,76,75,6.91,broken clouds
623,Sandpoint,US,48.2766,-116.5533,45.05,61,75,9.22,broken clouds
624,Faya,SA,18.3851,42.4509,55.92,77,8,0.94,clear sky
625,Barra,BR,-11.0894,-43.1417,84.87,54,80,4.38,broken clouds
626,Dillon,US,34.4166,-79.3712,68.95,82,99,14.23,light rain
627,Mwinilunga,ZM,-11.7358,24.4293,65.19,94,100,2.33,light rain
628,Japura,ID,-0.3167,102.35,74.16,97,100,1.19,overcast clouds
629,Grand-Santi,GF,4.25,-54.3833,80.4,92,77,4.18,light rain
630,Vokhtoga,RU,58.8147,41.0461,8.91,96,47,0.98,scattered clouds
631,Pont-Rouge,CA,46.7566,-71.6978,32.85,100,100,8.21,overcast clouds
632,Silca,HN,14.8333,-86.5333,86.77,34,55,4.47,broken clouds
633,Escanaba,US,45.7453,-87.0646,43.97,86,0,9.22,clear sky
634,Prosvet,RU,55.5703,65.0825,-5.51,100,82,3.58,broken clouds
635,Ballina,AU,-28.8667,153.5667,68.02,99,73,9.35,light rain
636,Bolu,TR,40.6667,31.5833,30.25,87,100,2.57,overcast clouds
637,Kaeo,NZ,-35.1,173.7833,63.32,92,98,6.98,overcast clouds
638,Mankapur,IN,27.0333,82.2333,73.92,36,5,7.31,clear sky
639,Broken Hill,AU,-31.95,141.4333,72.16,68,100,5.73,overcast clouds
640,Cahul,MD,45.9075,28.1944,35.47,57,100,12.55,overcast clouds
641,Chimoio,MZ,-19.1164,33.4833,71.46,100,75,8.99,broken clouds
642,Minot,US,48.2325,-101.2963,41.22,81,100,19.57,overcast clouds
643,Muravlenko,RU,63.7898,74.523,15.22,96,97,11.16,overcast clouds
644,Marsh Harbour,BS,26.5412,-77.0636,78.04,74,1,15.66,light rain
645,Garissa,KE,-0.4536,39.6401,87.84,44,99,18.14,overcast clouds
646,Tocopilla,CL,-22.092,-70.1979,73.13,73,22,9.13,few clouds
647,Marsala,IT,37.7966,12.4352,57.88,81,100,18.16,overcast clouds
648,Entre Rios,BR,-11.9419,-38.0844,85.44,57,47,9.71,scattered clouds
649,Salinopolis,BR,-0.6136,-47.3561,78.6,83,100,8.55,overcast clouds
650,Bima,ID,-8.4667,118.7167,76.71,95,17,3.42,few clouds
651,Hobyo,SO,5.3505,48.5268,78.8,73,11,12.44,few clouds
652,Watertown,US,42.3709,-71.1828,59.41,56,0,5.75,clear sky
653,Juventino Rosas,MX,20.65,-101.0,81.68,23,0,8.75,clear sky
