City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
130,Tuatapere,NZ,2022-02-15 22:46:27,-46.1333,167.6833,56.82,63,81,5.95
131,Saint-Augustin,CA,2022-02-15 22:46:28,51.226,-58.6502,-4.88,88,76,7.81
132,Longyearbyen,SJ,2022-02-15 22:46:28,78.2186,15.6401,19.24,86,75,0.0
133,Ornskoldsvik,SE,2022-02-15 22:46:28,63.2909,18.7153,26.42,93,100,9.22
134,Ponta Delgada,PT,2022-02-15 22:46:29,37.7333,-25.6667,64.51,82,75,10.36
135,Rocha,UY,2022-02-15 22:43:49,-34.4833,-54.3333,69.17,65,0,8.05
136,Buala,SB,2022-02-15 22:46:29,-8.145,159.5921,83.82,71,66,5.64
137,Turtas,RU,2022-02-15 22:46:29,58.9417,69.1325,-9.17,100,58,4.41
138,Pisco,PE,2022-02-15 22:46:30,-13.7,-76.2167,75.25,64,0,23.02
139,Goundam,ML,2022-02-15 22:46:30,16.4145,-3.6708,67.89,15,97,10.74
140,Marsa Matruh,EG,2022-02-15 22:47:30,31.3525,27.2453,57.4,67,20,9.22
141,Sur,OM,2022-02-15 22:47:31,22.5667,59.5289,69.46,62,0,4.38
142,Talnakh,RU,2022-02-15 22:47:31,69.4865,88.3972,-15.83,83,75,4.79
143,Mata Grande,BR,2022-02-15 22:47:32,-9.1175,-37.7322,78.66,46,27,15.32
144,Aden,YE,2022-02-15 22:47:32,12.7794,45.0367,76.1,72,26,10.67
145,Bambous Virieux,MU,2022-02-15 22:47:33,-20.3428,57.7575,79.05,89,40,6.91
146,Belmonte,BR,2022-02-15 22:47:33,-15.8631,-38.8828,82.9,85,12,8.3
147,Alugan,PH,2022-02-15 22:47:33,12.2188,125.4808,77.72,80,65,5.91
148,Mahebourg,MU,2022-02-15 22:45:53,-20.4081,57.7,79.09,89,40,6.91
149,Plettenberg Bay,ZA,2022-02-15 22:47:34,-34.0527,23.3716,71.1,94,100,1.59
150,Krasnoselkup,RU,2022-02-15 22:47:34,65.7,82.4667,-17.09,94,17,8.46
151,College,US,2022-02-15 22:47:34,64.8569,-147.8028,5.58,78,100,4.61
152,Imbituba,BR,2022-02-15 22:47:35,-28.24,-48.6703,76.89,73,0,3.22
153,Barreirinha,BR,2022-02-15 22:47:35,-2.7933,-57.07,73.15,99,100,0.96
154,Tuktoyaktuk,CA,2022-02-15 22:47:36,69.4541,-133.0374,-27.4,75,75,12.66
155,Butaritari,KI,2022-02-15 22:47:36,3.0707,172.7902,81.91,75,43,15.59
156,Barahona,DO,2022-02-15 22:47:36,18.2085,-71.1008,84.02,70,75,13.8
157,Askino,RU,2022-02-15 22:47:37,56.0901,56.5783,18.14,95,100,9.95
158,Guerrero Negro,MX,2022-02-15 22:47:37,27.9769,-114.0611,67.14,57,44,13.78
159,Mwense,ZM,2022-02-15 22:47:38,-10.3845,28.698,64.06,97,99,2.44
160,Carnarvon,AU,2022-02-15 22:47:38,-24.8667,113.6333,78.87,57,7,8.05
161,Matara,LK,2022-02-15 22:47:38,5.9485,80.5353,73.49,91,90,3.53
162,Constitucion,CL,2022-02-15 22:46:35,-35.3333,-72.4167,61.74,76,53,9.78
163,Kifri,IQ,2022-02-15 22:47:39,34.6959,44.9661,52.86,51,0,5.55
164,Doha,QA,2022-02-15 22:44:15,25.2867,51.5333,62.58,72,0,6.91
165,Bartica,GY,2022-02-15 22:47:40,6.4,-58.6167,79.12,98,97,3.2
166,Zdvinsk,RU,2022-02-15 22:47:40,54.7021,78.661,4.95,95,100,12.12
167,Port Hawkesbury,CA,2022-02-15 22:47:41,45.6169,-61.3485,11.79,79,100,18.41
168,Kpandu,GH,2022-02-15 22:47:41,6.9954,0.2931,80.65,78,32,12.55
169,Motozintla,MX,2022-02-15 22:45:13,15.3667,-92.2333,69.67,59,58,3.38
170,Lac Du Bonnet,CA,2022-02-15 22:47:41,50.2536,-96.0612,13.15,94,100,7.0
171,Victoria,HK,2022-02-15 22:45:04,22.2855,114.1577,61.32,82,100,13.0
172,Upernavik,GL,2022-02-15 22:47:42,72.7868,-56.1549,-15.2,93,100,10.71
173,Gornyy,RU,2022-02-15 22:47:42,55.1153,83.9059,-0.98,96,53,7.34
174,Ancud,CL,2022-02-15 22:47:42,-41.8697,-73.8203,67.42,83,100,9.08
175,Rapina,EE,2022-02-15 22:47:43,58.0981,27.4636,37.69,97,100,11.86
176,Bathsheba,BB,2022-02-15 22:47:43,13.2167,-59.5167,79.41,73,40,20.71
177,Sitka,US,2022-02-15 22:47:43,57.0531,-135.33,42.69,87,100,4.61
178,Katrineholm,SE,2022-02-15 22:47:44,58.9959,16.2072,36.43,83,87,8.68
179,Bumba,CD,2022-02-15 22:47:45,2.1833,22.4667,76.73,47,86,1.05
180,Toora-Khem,RU,2022-02-15 22:47:45,52.4675,96.11,1.17,98,100,1.77
181,Sandakan,MY,2022-02-15 22:47:45,5.8402,118.1179,76.68,94,40,5.01
182,Monrovia,LR,2022-02-15 22:45:57,6.3005,-10.7969,78.57,89,26,6.24
183,Lompoc,US,2022-02-15 22:47:45,34.6391,-120.4579,61.57,53,0,27.63
184,Banda Aceh,ID,2022-02-15 22:48:46,5.5577,95.3222,77.31,84,99,5.21
185,Provideniya,RU,2022-02-15 22:48:47,64.3833,-173.3,0.36,65,0,18.01
186,Luorong,CN,2022-02-15 22:48:47,24.4058,109.6086,51.64,87,100,3.85
187,Sukumo,JP,2022-02-15 22:48:48,32.9333,132.7333,38.66,60,11,16.91
188,Holme,DK,2022-02-15 22:48:49,56.1138,10.1725,40.64,93,100,14.99
189,Codrington,AU,2022-02-15 22:48:49,-38.2667,141.9667,63.41,64,100,1.12
190,Filingue,NE,2022-02-15 22:48:49,14.3521,3.3168,80.65,12,0,6.91
191,Te Anau,NZ,2022-02-15 22:48:50,-45.4167,167.7167,65.48,58,42,0.58
192,Boksitogorsk,RU,2022-02-15 22:48:50,59.474,33.8485,32.61,91,100,12.19
193,Jalapa,MX,2022-02-15 22:45:27,19.5333,-96.9167,61.43,60,21,4.76
194,Port Macquarie,AU,2022-02-15 22:48:50,-31.4333,152.9167,76.89,61,23,2.42
195,Arica,CL,2022-02-15 22:48:51,-18.475,-70.3042,74.75,64,0,9.22
196,Gorontalo,ID,2022-02-15 22:48:51,0.5412,123.0595,75.85,92,96,2.82
197,Yuanping,CN,2022-02-15 22:48:52,38.7153,112.7575,19.15,53,0,3.98
198,Ahipara,NZ,2022-02-15 22:48:53,-35.1667,173.1667,70.99,55,92,4.9
199,Saint-Joseph,RE,2022-02-15 22:48:53,-21.3667,55.6167,77.36,82,19,10.92
200,Hasaki,JP,2022-02-15 22:48:54,35.7333,140.8333,36.0,73,7,11.07
201,Atar,MR,2022-02-15 22:48:55,20.5169,-13.0499,68.59,19,100,9.69
202,Longyan,CN,2022-02-15 22:48:55,25.1072,117.0225,49.42,95,70,1.97
203,La Florida,CO,2022-02-15 22:48:56,1.2985,-77.4061,66.42,88,75,6.91
204,Kasulu,TZ,2022-02-15 22:48:56,-4.5767,30.1025,63.84,88,100,2.3
205,San Rafael Del Sur,NI,2022-02-15 22:48:56,11.8485,-86.4384,88.77,38,9,17.6
206,Los Llanos De Aridane,ES,2022-02-15 22:48:57,28.6585,-17.9182,59.13,73,75,13.8
207,Kavieng,PG,2022-02-15 22:48:57,-2.5744,150.7967,79.99,76,100,2.19
208,Tibati,CM,2022-02-15 22:48:57,6.4667,12.6333,69.49,20,2,3.47
209,Rosamorada,MX,2022-02-15 22:48:58,22.1222,-105.2058,88.16,28,0,8.97
210,Grand-Santi,GF,2022-02-15 22:48:58,4.25,-54.3833,71.35,100,100,1.66
211,Caudebec-Les-Elbeuf,FR,2022-02-15 22:48:58,49.2808,1.022,50.43,87,100,19.57
212,Dakar,SN,2022-02-15 22:48:59,14.6937,-17.4441,72.48,68,0,4.61
213,Kasugai,JP,2022-02-15 22:48:59,35.2476,136.9723,40.73,79,75,1.14
214,Taurage,LT,2022-02-15 22:48:59,55.2522,22.2897,36.28,95,99,5.48
215,Geraldton,AU,2022-02-15 22:48:59,-28.7667,114.6,73.81,68,1,5.75
216,Zaton,RU,2022-02-15 22:49:00,53.2936,83.8072,4.59,72,40,11.18
217,Uchiza,PE,2022-02-15 22:49:00,-8.4592,-76.4633,74.41,95,94,1.57
218,Piacabucu,BR,2022-02-15 22:49:01,-10.4056,-36.4344,79.36,73,0,10.16
219,Mount Isa,AU,2022-02-15 22:49:01,-20.7333,139.5,83.97,51,86,11.5
220,Gore,NZ,2022-02-15 22:49:01,-46.1028,168.9436,56.23,69,84,4.7
221,Tifton,US,2022-02-15 22:48:06,31.4505,-83.5085,65.66,31,0,3.44
222,Pinhao,BR,2022-02-15 22:49:02,-25.6956,-51.6597,68.05,41,18,2.68
223,Sibolga,ID,2022-02-15 22:49:03,1.7427,98.7792,76.08,88,100,3.94
224,Tarbes,FR,2022-02-15 22:49:03,43.25,0.1667,48.67,66,75,9.22
225,Benguela,AO,2022-02-15 22:49:03,-12.5763,13.4055,77.38,77,67,3.13
226,Nome,US,2022-02-15 22:48:57,64.5011,-165.4064,-3.93,65,0,0.0
227,Sioux Lookout,CA,2022-02-15 22:49:04,50.1001,-91.917,10.78,85,100,5.75
228,Neuquen,AR,2022-02-15 22:47:15,-38.9516,-68.0591,94.89,20,0,2.3
229,Ekibastuz,KZ,2022-02-15 22:50:05,51.6667,75.3667,-1.97,93,57,12.82
230,Asau,RO,2022-02-15 22:50:05,46.4333,26.4,40.95,76,65,5.39
231,San Policarpo,PH,2022-02-15 22:50:05,12.1791,125.5072,78.13,79,69,6.02
232,Namestovo,SK,2022-02-15 22:50:06,49.4079,19.4803,38.59,99,99,2.57
233,Ribeira Grande,PT,2022-02-15 22:50:06,38.5167,-28.7,61.65,91,99,16.71
234,Pangnirtung,CA,2022-02-15 22:50:06,66.1451,-65.7125,-32.8,68,20,0.0
235,Darnah,LY,2022-02-15 22:50:07,32.767,22.6367,55.72,71,50,10.02
236,Havre-Saint-Pierre,CA,2022-02-15 22:50:07,50.2334,-63.5986,8.6,60,0,19.57
237,Marawi,PH,2022-02-15 22:50:07,7.9986,124.2928,64.65,93,84,2.89
238,Agadez,NE,2022-02-15 22:50:08,19.75,10.25,66.67,13,48,5.75
239,Kutum,SD,2022-02-15 22:50:08,14.2,24.6667,60.26,17,92,9.62
240,Ilulissat,GL,2022-02-15 22:50:09,69.2167,-51.1,-3.08,99,100,0.96
241,Kendari,ID,2022-02-15 22:50:09,-3.945,122.4989,75.06,93,99,3.38
242,Cervo,ES,2022-02-15 22:50:10,43.6702,-7.4101,52.97,78,100,18.37
243,Roma,US,2022-02-15 22:50:10,43.2128,-75.4557,23.85,65,20,6.91
244,Mocajuba,BR,2022-02-15 22:50:10,-2.5842,-49.5072,74.48,97,96,2.73
245,Mogadouro,PT,2022-02-15 22:50:11,41.3403,-6.7119,39.25,87,100,4.56
246,Vangaindrano,MG,2022-02-15 22:50:12,-23.35,47.6,74.39,93,53,4.56
247,Cabedelo,BR,2022-02-15 22:50:12,-6.9811,-34.8339,81.27,75,0,11.25
248,Santa Maria Del Oro,MX,2022-02-15 22:45:15,25.9333,-105.3667,75.9,14,0,20.76
249,Cabo San Lucas,MX,2022-02-15 22:49:34,22.8909,-109.9124,88.52,46,0,10.69
250,Padang,ID,2022-02-15 22:50:12,-0.9492,100.3543,75.25,85,82,3.94
251,Yaqui,MX,2022-02-15 22:50:13,27.3667,-110.1667,81.3,17,58,12.17
252,Cunha,BR,2022-02-15 22:50:13,-23.0744,-44.9597,65.62,98,94,4.0
253,Gamba,GA,2022-02-15 22:50:14,-2.65,10.0,77.54,89,52,5.21
254,Berdigestyakh,RU,2022-02-15 22:50:14,62.0989,126.6992,-33.59,100,52,1.88
255,Lagoa,PT,2022-02-15 22:50:14,39.05,-27.9833,60.55,90,100,21.32
256,Komsomolskiy,UZ,2022-02-15 22:50:14,40.4272,71.7189,35.02,80,88,9.22
257,Budapest,HU,2022-02-15 22:50:15,47.498,19.0399,44.85,87,75,3.44
258,Kalmunai,LK,2022-02-15 22:50:16,7.4167,81.8167,73.08,78,97,8.34
259,Nortelandia,BR,2022-02-15 22:50:16,-14.4547,-56.8028,76.71,87,53,1.28
260,Douglas,US,2022-02-15 22:50:16,41.3,-96.167,64.22,32,0,9.22
261,Usinsk,RU,2022-02-15 22:50:17,65.9939,57.5281,14.38,97,95,13.85
262,Hay River,CA,2022-02-15 22:50:18,60.8156,-115.7999,-20.22,63,20,8.05
263,Zadar,HR,2022-02-15 22:50:18,44.1197,15.2422,52.65,76,40,6.91
264,Hithadhoo,MV,2022-02-15 22:50:18,-0.6,73.0833,83.12,65,97,15.64
265,Mount Gambier,AU,2022-02-15 22:50:19,-37.8333,140.7667,62.51,82,75,5.75
266,Saskylakh,RU,2022-02-15 22:50:19,71.9167,114.0833,-29.69,100,55,1.9
267,Kirakira,SB,2022-02-15 22:50:20,-10.4544,161.9205,84.09,70,55,4.32
268,Hovd,MN,2022-02-15 22:50:20,48.0056,91.6419,-3.05,70,21,7.43
269,Iquique,CL,2022-02-15 22:46:19,-20.2208,-70.1431,71.64,76,36,3.85
270,Ternate,ID,2022-02-15 22:50:20,0.8,127.4,80.35,81,80,5.57
271,San Juan De Los Morros,VE,2022-02-15 22:50:21,9.9115,-67.3538,79.36,46,100,4.36
272,Kamaishi,JP,2022-02-15 22:50:21,39.2667,141.8833,38.14,75,90,6.6
273,Gualaceo,EC,2022-02-15 22:50:22,-2.9,-78.7833,67.66,89,100,3.8
274,Tazovskiy,RU,2022-02-15 22:50:22,67.4667,78.7,-22.76,100,53,8.52
275,Saint-Pierre,RE,2022-02-15 22:50:22,-21.3393,55.4781,78.44,69,0,6.91
276,Teguise,ES,2022-02-15 22:50:23,29.0605,-13.564,59.22,67,40,16.11
277,Orlik,RU,2022-02-15 22:51:23,52.5178,99.825,-20.81,98,70,2.73
278,Abu Dhabi,AE,2022-02-15 22:50:45,24.4667,54.3667,68.11,83,0,3.44
279,Altayskoye,RU,2022-02-15 22:51:24,51.9533,85.3325,8.87,95,100,0.92
280,Agua Verde,MX,2022-02-15 22:51:24,22.9,-106.05,76.51,57,2,8.08
281,Coos Bay,US,2022-02-15 22:47:06,43.3665,-124.2179,51.85,93,100,4.61
282,Rawson,AR,2022-02-15 22:51:25,-43.3002,-65.1023,78.69,43,5,11.01
283,Port Elizabeth,ZA,2022-02-15 22:51:25,-33.918,25.5701,73.09,94,75,8.05
284,Thompson,CA,2022-02-15 22:51:25,55.7435,-97.8558,5.16,61,75,4.61
285,Jasper,US,2022-02-15 22:51:26,37.2001,-94.3502,63.84,28,53,11.99
286,Disna,BY,2022-02-15 22:51:26,55.568,28.1971,32.54,91,93,12.28
287,Paita,PE,2022-02-15 22:51:27,-5.0892,-81.1144,79.36,75,23,15.43
288,Chaplynka,UA,2022-02-15 22:51:27,46.3651,33.5403,36.81,84,82,5.01
289,Fortuna,US,2022-02-15 22:47:06,40.5982,-124.1573,56.43,70,0,20.71
290,Pareora,NZ,2022-02-15 22:51:27,-44.4871,171.2132,65.17,96,74,6.31
291,Garowe,SO,2022-02-15 22:51:28,8.4054,48.4845,64.99,69,14,8.46
292,Antofagasta,CL,2022-02-15 22:46:51,-23.65,-70.4,69.08,81,20,6.35
293,Abha,SA,2022-02-15 22:50:14,18.2164,42.5053,57.45,77,0,3.44
294,Siquinala,GT,2022-02-15 22:51:28,14.3076,-90.9661,88.39,52,67,4.21
